Paper (Authors + Year),Paper Name,Trait,Counter or Co,Population Number,Comparison(a or b),Point on gradient,Treatment,Experiment #,Population Home Env,Comparison population,Value,Standard Deviation,Sample Size,Notes
Trussel and Etter 2001,Integrating Genetic and Environmental Forces that Shape the Evolution of Geographic Variation in a Marine Snail,shell growth,Counter,1,a,,N,1,1,a,0.3176431282,0.5635983749,42,
Trussel and Etter 2001,Integrating Genetic and Environmental Forces that Shape the Evolution of Geographic Variation in a Marine Snail,shell growth,Counter,1,a,,S,1,2,b,0.5977328592,0.7731318511,42,
Trussel and Etter 2001,Integrating Genetic and Environmental Forces that Shape the Evolution of Geographic Variation in a Marine Snail,shell growth,Counter,2,b,,N,1,1,a,0.2365558552,0.4863700805,48,
Trussel and Etter 2001,Integrating Genetic and Environmental Forces that Shape the Evolution of Geographic Variation in a Marine Snail,shell growth,Counter,2,b,,S,1,2,b,0.3966541775,0.6298048726,48,
Trussel and Etter 2001,Integrating Genetic and Environmental Forces that Shape the Evolution of Geographic Variation in a Marine Snail,shell thickness,Co,1,a,,N,1,1,a,0.7068348328,0.1261334052,42,
Trussel and Etter 2001,Integrating Genetic and Environmental Forces that Shape the Evolution of Geographic Variation in a Marine Snail,shell thickness,Co,1,a,,S,1,2,b,1.068011837,0.1050918384,42,
Trussel and Etter 2001,Integrating Genetic and Environmental Forces that Shape the Evolution of Geographic Variation in a Marine Snail,shell thickness,Co,2,b,,N,1,1,a,1.066830537,0.1123975027,48,
Trussel and Etter 2001,Integrating Genetic and Environmental Forces that Shape the Evolution of Geographic Variation in a Marine Snail,shell thickness,Co,2,b,,S,1,2,b,1.25612486,0.2021766201,48,
Trussel 2002,Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity,shell length growth,Counter,1,a,,low flow,1,1,a,0.4002542841,0.09273893134,20,
Trussel 2002,Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity,shell length growth,Counter,1,a,,high flow,1,2,b,0.6012308826,0.09277189346,20,
Trussel 2002,Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity,shell length growth,Counter,2,b,,low flow,1,1,a,0.1395098581,0.09936431794,20,
Trussel 2002,Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity,shell length growth,Counter,2,b,,high flow,1,2,b,0.2486419753,0.099380799,20,
Trussel 2002,Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity,shell thickness growth,Counter,1,a,,low flow,1,1,a,0.06450361933,0.2539756274,20,
Trussel 2002,Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity,shell thickness growth,Counter,1,a,,high flow,1,2,b,0.1046044823,0.3234261621,20,
Trussel 2002,Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity,shell thickness growth,Counter,2,b,,low flow,1,1,a,0.01926656957,0.138804069,20,
Trussel 2002,Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity,shell thickness growth,Counter,2,b,,high flow,1,2,b,0.0439640893,0.2096761534,20,
Trussel 2002,Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity,shell mass growth,Counter,1,a,,low flow,1,1,a,7.661969171,3.174611629,20,
Trussel 2002,Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity,shell mass growth,Counter,1,a,,high flow,1,2,b,11.06484432,2.871845396,20,
Trussel 2002,Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity,shell mass growth,Counter,2,b,,low flow,1,1,a,2.084460496,2.872267664,20,
Trussel 2002,Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity,shell mass growth,Counter,2,b,,high flow,1,2,b,5.183107901,3.023439647,20,
Trussel 2002,Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity,body mass growth,Counter,1,a,,low flow,1,1,a,1.175032412,0.2306616324,20,
Trussel 2002,Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity,body mass growth,Counter,1,a,,high flow,1,2,b,3.699352496,0.05765099535,20,
Trussel 2002,Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity,body mass growth,Counter,2,b,,low flow,1,1,a,0.6658318109,0.08653414403,20,
Trussel 2002,Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity,body mass growth,Counter,2,b,,high flow,1,2,b,2.384467632,0.1440698374,20,
Li et al 2018,Latitudinal and temperature-dependent variation in embryonic development rate and offspring performance in a freshwater turtle,Incubation time,Counter,1,a,,26,1,1,a,69.06169666,3.945157037,92,treatment is temerpature
Li et al 2018,Latitudinal and temperature-dependent variation in embryonic development rate and offspring performance in a freshwater turtle,Incubation time,Counter,2,,,26,1,1,a,69.6529563,2.635682389,73,treatment is temerpature
Li et al 2018,Latitudinal and temperature-dependent variation in embryonic development rate and offspring performance in a freshwater turtle,Incubation time,Counter,3,b,,26,1,1,a,71.55526992,3.259007505,82,treatment is temerpature
Li et al 2018,Latitudinal and temperature-dependent variation in embryonic development rate and offspring performance in a freshwater turtle,Incubation time,Counter,1,a,,31,1,3,b,45.05913272,3.277046507,92,treatment is temerpature
Li et al 2018,Latitudinal and temperature-dependent variation in embryonic development rate and offspring performance in a freshwater turtle,Incubation time,Counter,2,,,31,1,3,b,45.11169514,2.486874584,74,treatment is temerpature
Li et al 2018,Latitudinal and temperature-dependent variation in embryonic development rate and offspring performance in a freshwater turtle,Incubation time,Counter,3,b,,31,1,3,b,44.717477,3.807783501,82,treatment is temerpature
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate,Counter,1,a,,35,1,,,0.5721964497,0.01100047774,30,this was experiment looked at length growth
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate,Counter,2,,,35,1,,,0.6409494355,0.01787577632,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate,Counter,3,,,35,1,,,0.6299489578,0.02337601519,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate,Counter,4,b,,35,1,,,0.4731921501,0.007562828443,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate,Counter,1,a,,32,1,4,b,0.8142833521,0.01193628226,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate,Counter,2,,,32,1,4,b,0.7646284178,0.006206866778,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate,Counter,3,,,32,1,4,b,0.7321617301,0.01098137968,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate,Counter,4,b,,32,1,4,b,0.5927459532,0.03103433389,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate,Counter,1,a,,28,1,3,,0.7684480282,0.007639220649,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate,Counter,2,,,28,1,3,,0.6634087442,0.009549025812,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate,Counter,3,,,28,1,3,,0.6385812771,0.009071574521,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate,Counter,4,b,,28,1,3,,0.5488204345,0.0205304055,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate,Counter,1,a,,21,1,2,,0.4208634886,0.006206866778,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate,Counter,2,,,21,1,2,,0.378847775,0.005729415487,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate,Counter,3,,,21,1,2,,0.3654791389,0.00811667194,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate,Counter,4,b,,21,1,2,,0.3272830357,0.00811667194,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate,Counter,1,a,,17,1,1,a,0.1687692072,0.01050392839,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate,Counter,2,,,17,1,1,a,0.1630397917,0.004297061615,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate,Counter,3,,,17,1,1,a,0.1649495969,0.006684318068,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate,Counter,4,b,,17,1,1,a,0.1592201814,0.00859412323,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate ,Counter,1,a,,35,2,,,0.8918456162,0.05420736619,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate ,Counter,2,,,35,2,,,1.415160474,0.07289956143,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate ,Counter,3,,,35,2,,,1.273033181,0.09906863477,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate ,Counter,4,b,,35,2,,,0.8617549286,0.05607242265,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate ,Counter,1,a,,32,2,4,b,2.235735356,0.1962597239,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate ,Counter,2,,,32,2,4,b,2.15343974,0.01495375619,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate ,Counter,3,,,32,2,4,b,1.861758232,0.1177649931,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate ,Counter,4,b,,32,2,4,b,1.151454813,0.01121531714,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate ,Counter,1,a,,28,2,3,,1.836846407,0.03738439048,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate ,Counter,2,,,28,2,3,,1.477906301,0.09345681313,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate ,Counter,3,,,28,2,3,,1.395610686,0.02243063429,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate ,Counter,4,b,,28,2,3,,1.074054971,0.1084064062,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate ,Counter,1,a,,21,2,2,,0.7780771726,0.05421152927,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate ,Counter,2,,,21,2,2,,0.7107186606,0.01682297572,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate ,Counter,3,,,21,2,2,,0.695681643,0.01495375619,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate ,Counter,4,b,,21,2,2,,0.5760515934,0.01308453667,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate ,Counter,1,a,,17,2,1,a,0.2371441925,0.01682297572,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate ,Counter,2,,,17,2,1,a,0.2370442788,0.01682297572,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate ,Counter,3,,,17,2,1,a,0.207170071,0.02243063429,30,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,growth rate ,Counter,4,b,,17,2,1,a,0.1773957769,0.03925777308,30,
Lindgren and Laurila 2009,Phsyiological variation along a geographical gradient: is growth rate correlated with routine metabolic rate in Rana temporaria tadpoles,size at metamorphosis,Counter,1,a,,18,1,7,b,0.530332747,0.006023,18,
Lindgren and Laurila 2009,Phsyiological variation along a geographical gradient: is growth rate correlated with routine metabolic rate in Rana temporaria tadpoles,size at metamorphosis,Counter,2,,,18,1,7,b,0.62431481,0.004497,17,
Lindgren and Laurila 2009,Phsyiological variation along a geographical gradient: is growth rate correlated with routine metabolic rate in Rana temporaria tadpoles,size at metamorphosis,Counter,3,,,18,1,7,b,0.61218674,0.009831,18,
Lindgren and Laurila 2009,Phsyiological variation along a geographical gradient: is growth rate correlated with routine metabolic rate in Rana temporaria tadpoles,size at metamorphosis,Counter,4,,,18,1,7,b,0.706122706,0.004955,12,
Lindgren and Laurila 2009,Phsyiological variation along a geographical gradient: is growth rate correlated with routine metabolic rate in Rana temporaria tadpoles,size at metamorphosis,Counter,5,,,18,1,7,b,0.607032101,0.00478,16,
Lindgren and Laurila 2009,Phsyiological variation along a geographical gradient: is growth rate correlated with routine metabolic rate in Rana temporaria tadpoles,size at metamorphosis,Counter,6,,,18,1,7,b,0.661977202,0.006699,20,
Lindgren and Laurila 2009,Phsyiological variation along a geographical gradient: is growth rate correlated with routine metabolic rate in Rana temporaria tadpoles,size at metamorphosis,Counter,7,b,,18,1,7,b,0.654253625,0.006197,15,
Lindgren and Laurila 2009,Phsyiological variation along a geographical gradient: is growth rate correlated with routine metabolic rate in Rana temporaria tadpoles,size at metamorphosis,Counter,1,a,,15,1,1,a,0.724442628,0.015811,21,
Lindgren and Laurila 2009,Phsyiological variation along a geographical gradient: is growth rate correlated with routine metabolic rate in Rana temporaria tadpoles,size at metamorphosis,Counter,2,,,15,1,1,a,0.794034448,0.006197,15,
Lindgren and Laurila 2009,Phsyiological variation along a geographical gradient: is growth rate correlated with routine metabolic rate in Rana temporaria tadpoles,size at metamorphosis,Counter,3,,,15,1,1,a,0.827629704,0.008575,23,
Lindgren and Laurila 2009,Phsyiological variation along a geographical gradient: is growth rate correlated with routine metabolic rate in Rana temporaria tadpoles,size at metamorphosis,Counter,4,,,15,1,1,a,0.822984243,0.007463,20,
Lindgren and Laurila 2009,Phsyiological variation along a geographical gradient: is growth rate correlated with routine metabolic rate in Rana temporaria tadpoles,size at metamorphosis,Counter,5,,,15,1,1,a,0.753886933,0.006872,23,
Lindgren and Laurila 2009,Phsyiological variation along a geographical gradient: is growth rate correlated with routine metabolic rate in Rana temporaria tadpoles,size at metamorphosis,Counter,6,,,15,1,1,a,0.686375828,0.008195,22,
Lindgren and Laurila 2009,Phsyiological variation along a geographical gradient: is growth rate correlated with routine metabolic rate in Rana temporaria tadpoles,size at metamorphosis,Counter,7,b,,15,1,1,a,0.629398206,0.007839,19,
Kokita 2003,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",egg volume,Counter,1,a,,22.5,1,1,a,0.192720639,0.003822970639,50,
Kokita 2003,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",egg volume,Counter,1,a,,26,1,2,,0.1578376511,0.005633851468,50,
Kokita 2003,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",egg volume,Counter,1,a,,29.5,1,3,b,0.1392543178,0.001207253886,50,
Kokita 2003,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",egg volume,Counter,2,,,22.5,1,1,a,0.161130829,0.003822970639,50,
Kokita 2003,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",egg volume,Counter,2,,,26,1,2,,0.1340962867,0.004828583765,50,
Kokita 2003,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",egg volume,Counter,2,,,29.5,1,3,b,0.1183290155,0.001408462867,50,
Kokita 2003,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",egg volume,Counter,3,b,,22.5,1,1,a,0.150667962,0.001408894646,50,
Kokita 2003,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",egg volume,Counter,3,b,,26,1,2,,0.1274563903,0.004425302245,50,
Kokita 2003,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",egg volume,Counter,3,b,,29.5,1,3,b,0.1130984456,0.001407599309,50,
Kokita 2003,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",egg weight,Counter,1,a,,22.5,1,1,a,0.04845070423,0.005311871227,200,
Kokita 2003,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",egg weight,Counter,1,a,,26,1,2,,0.06221327968,0.00277665996,200,
Kokita 2003,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",egg weight,Counter,1,a,,29.5,1,3,b,0.06782696177,0.003682092555,200,
Kokita 2003,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",egg weight,Counter,2,,,22.5,1,1,a,0.06257545272,0.00277665996,200,
Kokita 2003,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",egg weight,Counter,2,,,26,1,2,,0.07887323944,0.001931589537,200,
Kokita 2003,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",egg weight,Counter,2,,,29.5,1,3,b,0.08177062374,0.001690140845,200,
Kokita 2003,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",egg weight,Counter,3,b,,22.5,1,1,a,0.06716297787,0.00277665996,200,
Kokita 2003,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",egg weight,Counter,3,b,,26,1,2,,0.08201207243,0.001448692153,200,
Kokita 2003,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",egg weight,Counter,3,b,,29.5,1,3,b,0.08430583501,0.001327967807,200,
Laugen et al. 2003,Latitudinal countergradient variation in the common frog(Rana temporaria) development rates – evidence for localadaptation,developmental rate,Counter,5,b,55.666667,14,1,1,a,64.00254697,15.14730692,141,
Laugen et al. 2003,Latitudinal countergradient variation in the common frog(Rana temporaria) development rates – evidence for localadaptation,developmental rate,Counter,4,,59.666667,14,1,1,a,67.21095929,15.97672455,129,
Laugen et al. 2003,Latitudinal countergradient variation in the common frog(Rana temporaria) development rates – evidence for localadaptation,developmental rate,Counter,3,,63.833333,14,1,1,a,59.30767091,12.21687498,187,
Laugen et al. 2003,Latitudinal countergradient variation in the common frog(Rana temporaria) development rates – evidence for localadaptation,developmental rate,Counter,2,,67.866667,14,1,1,a,54.85303697,7.532983941,71,
