"","Paper..Authors...Year.","Paper.Name","Trait","Counter.or.Co.x","alt_trait","mean_ES","var_ES","samp.size_ES","Title","Year","Class","Species","Gradient","number.of.traits","Trait.type","Counter.or.Co.y","Data.collection","Number.of.populations","Number.of.Treatments","Experiment.type..CG.or.RT.","distance.between.analyzed..a.and.b..populations..km.","elevation.between.analyzed..a.and.b..populations..m.","notes","X.1","X.2"
"14","Luquet et al. 2019","Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient","mass","Co","body_size",-2.99063706946838,0.359853305444103,6,"Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient",2019,"Amphibia","Rana arvalis","latitude",3,"physiological","both","graph",5,2,"CG",805,NA,"","",""
"15","Manyak-Davis et al. 2013","The Relative Importance of Predation Risk and Water Temperature in Maintaining Bergmann''s Rule in a Marine Ectotherm","developmental rate","co","developmental_rate",-0.516567450233989,0.017270395134969,60,"The Relative Importance of Predation Risk and Water Temperature in Maintaining Bergmann''s Rule in a Marine Ectotherm",2013,"Malacostraca","Idotea balthica","latitude",2,"physiological","both","graph",2,2,"CG",NA,NA,"","",""
"16","Poykko and Tammaru 2010","Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)","diapause rate","Co","reproductive_rate",NA,NA,36,"Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)",2010,"Insecta","Eilema depressa","latitude",2,"physiological","both","graph",2,4,"CG",810,NA,"","",""
"17","Stalhandske et al. 2014","Variation in two phases of post‐winter development of a butterfly","development rate","Co","developmental_rate",1.05329722773723,0.0234148287120558,21,"Variation in two phases of post‐winter development of a butterfly",2014,"Insecta","Anthocharis cardamines","latitude",1,"physiological","co","graph",3,4,"CG",501,NA,"","",""
"18","Tang et al. 2017 ","Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle","bunch of development","Co","developmental_rate",-1.86252071144058,0.00261945821505566,67.5,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",4,"developmental","co","table",6,6,"",2332,NA,"split between males and females","",""
"19","Trussel 2000","PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL","body growth","Co","growth_rate",-0.618036185070163,0.0088676243706489,60,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",2000,"Gastropoda","Littorina obtusata","latitude",2,"physiological","co","graph",2,2,"RT",250,NA,"","",""
"20","Trussel and Etter 2001","Integrating Genetic and Environmental Forces that Shape the Evolution of Geographic Variation in a Marine Snail","shell thickness","Co","body_shape",-2.0674793590616,0.036607604642675,42,"Integrating Genetic and Environmental Forces that Shape the Evolution of Geographic Variation in a Marine Snail",2001,"Gastropoda","Littorina obtusata","latitude",2,"physiological","both","graph",2,2,"",254,NA,"","",""
"21","X and Stoks 2019","Pace of life syndrome under warming and pollution: integrating life history, behavior, and physiology across latitudes","metabolic rate","co","metabolic_rate",0.743084685404923,0.0125767448340761,85,"Pace of life syndrome under warming and pollution: integrating life history, behavior, and physiology across latitudes",2019,"Insecta ","Ischnura elegans","latitude",1,"physiological","co","graph",2,2,"CG",NA,NA,"used multiple populations for each group (e.g. south) so can't collect proper distance","This and Verheyen and stoks looks like they were the same experiment and should probably be treated as a single ""study""","Debeker and Stoks 2019, , recoded as X and Stoks"
"22","X and Stoks 2019","Pace of life syndrome under warming and pollution: integrating life history, behavior, and physiology across latitudes","metabolic rate","co","metabolic_rate",0.743084685404923,0.0125767448340761,85,"Temperature variation makes an ectotherm more sensitive to global warming unless thermal evolution occurs",2019,"Insecta ","Ischnura elegans","latitude",1,"physiological","co","graph",2,2,"CG",NA,NA,"only used DTF 0 treatment, used multiple populations for each group (e.g. south) so can't collect proper distance","This and Debeker and stoks looks like they were the same experiment and should probably be treated as a single ""study""","Verheyen and Stoks 2019, recoded as X and Stoks"
"23","X and Stoks 2019","Temperature variation makes an ectotherm more sensitive to global warming unless thermal evolution occurs","growth rate","co","growth_rate",0.0556465253729904,0.033347013005058,30,"Pace of life syndrome under warming and pollution: integrating life history, behavior, and physiology across latitudes",2019,"Insecta ","Ischnura elegans","latitude",1,"physiological","co","graph",2,2,"CG",NA,NA,"used multiple populations for each group (e.g. south) so can't collect proper distance","This and Verheyen and stoks looks like they were the same experiment and should probably be treated as a single ""study""","Debeker and Stoks 2019, , recoded as X and Stoks"
"24","X and Stoks 2019","Temperature variation makes an ectotherm more sensitive to global warming unless thermal evolution occurs","growth rate","co","growth_rate",0.0556465253729904,0.033347013005058,30,"Temperature variation makes an ectotherm more sensitive to global warming unless thermal evolution occurs",2019,"Insecta ","Ischnura elegans","latitude",1,"physiological","co","graph",2,2,"CG",NA,NA,"only used DTF 0 treatment, used multiple populations for each group (e.g. south) so can't collect proper distance","This and Debeker and stoks looks like they were the same experiment and should probably be treated as a single ""study""","Verheyen and Stoks 2019, recoded as X and Stoks"
